Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.2285,01/05/2018,31/05/2018
Albania,Lek,ALL,148.73,01/05/2018,31/05/2018
Algeria,Dinar,DZD,162.25,01/05/2018,31/05/2018
Angola,Readj Kwanza,AOA,308.21,01/05/2018,31/05/2018
Antigua,E Caribbean Dollar,XCD,3.8433,01/05/2018,31/05/2018
Argentina,Peso,ARS,28.67,01/05/2018,31/05/2018
Armenia,Dram,AMD,684.66,01/05/2018,31/05/2018
Aruba,Florin,AWG,2.548,01/05/2018,31/05/2018
Australia,Dollar,AUD,1.8272,01/05/2018,31/05/2018
Azerbaijan,New Manat,AZN,2.422,01/05/2018,31/05/2018
Bahamas,Dollar,BSD,1.4234,01/05/2018,31/05/2018
Bahrain,Dinar,BHD,0.5366,01/05/2018,31/05/2018
Bangladesh,Taka,BDT,118.18,01/05/2018,31/05/2018
Barbados,Dollar,BBD,2.8469,01/05/2018,31/05/2018
Belarus,Rouble,BYN,2.8775,01/05/2018,31/05/2018
Belize,Dollar,BZD,2.8451,01/05/2018,31/05/2018
Benin,CFA Franc,XOF,754.39,01/05/2018,31/05/2018
Bermuda,Dollar (US),BMD,1.4234,01/05/2018,31/05/2018
Bhutan,Ngultrum,BTN,93.4,01/05/2018,31/05/2018
Bolivia,Boliviano,BOB,9.836,01/05/2018,31/05/2018
Bosnia- Herzegovinia,Marka,BAM,2.2493,01/05/2018,31/05/2018
Botswana,Pula,BWP,13.62,01/05/2018,31/05/2018
Brazil,Real,BRL,4.8142,01/05/2018,31/05/2018
Brunei,Dollar,BND,1.8646,01/05/2018,31/05/2018
Bulgaria,Lev,BGN,2.2494,01/05/2018,31/05/2018
Burkina Faso,CFA Franc,XOF,754.39,01/05/2018,31/05/2018
Burundi,Franc,BIF,2538.41,01/05/2018,31/05/2018
Cambodia,Riel,KHR,5722.25,01/05/2018,31/05/2018
Cameroon Republic,CFA Franc,XAF,754.39,01/05/2018,31/05/2018
Canada,Dollar,CAD,1.7929,01/05/2018,31/05/2018
Cape Verde Islands,Escudo,CVE,127.25,01/05/2018,31/05/2018
Cayman Islands,Dollar,KYD,1.1672,01/05/2018,31/05/2018
Central African Republic,CFA Franc,XAF,754.39,01/05/2018,31/05/2018
Chad,CFA Franc,XAF,754.39,01/05/2018,31/05/2018
Chile,Peso,CLP,845.3,01/05/2018,31/05/2018
China,Yuan,CNY,8.9469,01/05/2018,31/05/2018
Colombia,Peso,COP,3842.53,01/05/2018,31/05/2018
Comoros,Franc,KMF,565.79,01/05/2018,31/05/2018
Congo (Brazaville),CFA Franc,XAF,754.39,01/05/2018,31/05/2018
Congo (DemRep),Congo Fr,CDF,2298.86,01/05/2018,31/05/2018
Costa Rica,Colon,CRC,803.22,01/05/2018,31/05/2018
Cote d'Ivoire,CFA Franc,XOF,754.39,01/05/2018,31/05/2018
Croatia,Kuna,HRK,8.5261,01/05/2018,31/05/2018
Cuba,Peso,CUP,1.4234,01/05/2018,31/05/2018
Czech Republic,Koruna,CZK,29.1,01/05/2018,31/05/2018
Denmark,Krone,DKK,8.5659,01/05/2018,31/05/2018
Djibouti,Franc,DJF,252.97,01/05/2018,31/05/2018
Dominica,E Caribbean Dollar,XCD,3.8433,01/05/2018,31/05/2018
Dominican Republic,Peso,DOP,70.52,01/05/2018,31/05/2018
Dubai,Dirham,AED,5.2285,01/05/2018,31/05/2018
Ecuador,Dollar,ECS,1.4234,01/05/2018,31/05/2018
Egypt,Pound,EGP,25.2,01/05/2018,31/05/2018
El Salvador,Colon,SVC,12.44,01/05/2018,31/05/2018
Equatorial Guinea,CFA Franc,XAF,754.39,01/05/2018,31/05/2018
Eritrea,Nakfa,ERN,21.35,01/05/2018,31/05/2018
Ethiopia,Birr,ETB,38.96,01/05/2018,31/05/2018
Eurozone,Euro,EUR,1.1501,01/05/2018,31/05/2018
Fiji Islands,Dollar,FJD,2.871,01/05/2018,31/05/2018
Fr. Polynesia,CFP Franc,XPF,137.24,01/05/2018,31/05/2018
Gabon,CFA Franc,XAF,754.39,01/05/2018,31/05/2018
Gambia,Dalasi,GMD,67.54,01/05/2018,31/05/2018
Georgia,Lari,GEL,3.459,01/05/2018,31/05/2018
Ghana,Cedi,GHS,6.3165,01/05/2018,31/05/2018
Grenada,E Caribbean Dollar,XCD,3.8433,01/05/2018,31/05/2018
Guatemala,Quetzal,GTQ,10.54,01/05/2018,31/05/2018
Guinea Bissau,CFA Franc,XOF,754.39,01/05/2018,31/05/2018
Guinea Republic,Franc,GNF,12846.61,01/05/2018,31/05/2018
Guyana,Dollar,GYD,294.26,01/05/2018,31/05/2018
Haiti,Gourde,HTG,92.93,01/05/2018,31/05/2018
Honduras,Lempira,HNL,33.66,01/05/2018,31/05/2018
Hong Kong,Dollar,HKD,11.17,01/05/2018,31/05/2018
Hungary,Forint,HUF,356.78,01/05/2018,31/05/2018
Iceland,Krona,ISK,141.79,01/05/2018,31/05/2018
India,Rupee,INR,93.4,01/05/2018,31/05/2018
Indonesia,Rupiah,IDR,19607.3,01/05/2018,31/05/2018
Iraq,Dinar,IQD,1691.76,01/05/2018,31/05/2018
Israel,Shekel,ILS,5.0041,01/05/2018,31/05/2018
Jamaica,Dollar,JMD,177.25,01/05/2018,31/05/2018
Japan,Yen,JPY,152.64,01/05/2018,31/05/2018
Jordan,Dinar,JOD,1.0099,01/05/2018,31/05/2018
Kazakhstan,Tenge,KZT,467.09,01/05/2018,31/05/2018
Kenya,Schilling,KES,142.91,01/05/2018,31/05/2018
Kuwait,Dinar,KWD,0.4269,01/05/2018,31/05/2018
Kyrgyz Republic,Som,KGS,98.06,01/05/2018,31/05/2018
Lao People's Dem Rep,Kip,LAK,11843.07,01/05/2018,31/05/2018
Lebanon,Pound,LBP,2152.25,01/05/2018,31/05/2018
Lesotho,Loti,LSL,16.97,01/05/2018,31/05/2018
Liberia,Dollar (US),LRD,1.4234,01/05/2018,31/05/2018
Libya,Dinar,LYD,1.8932,01/05/2018,31/05/2018
Macao,Pataca,MOP,11.5,01/05/2018,31/05/2018
Macedonia,Denar,MKD,70.81,01/05/2018,31/05/2018
Madagascar,Malagasy Ariary,MGA,4584.21,01/05/2018,31/05/2018
Malawi,Kwacha,MWK,1032.71,01/05/2018,31/05/2018
Malaysia,Ringgit,MYR,5.5365,01/05/2018,31/05/2018
Maldive Islands,Rufiyaa,MVR,21.92,01/05/2018,31/05/2018
Mali Republic,CFA Franc,XOF,754.39,01/05/2018,31/05/2018
Mauritania,Ouguiya,MRO,504.89,01/05/2018,31/05/2018
Mauritius,Rupee,MUR,47.82,01/05/2018,31/05/2018
Mexico,Mexican Peso,MXN,25.6,01/05/2018,31/05/2018
Moldova,Leu,MDL,23.41,01/05/2018,31/05/2018
Mongolia,Tugrik,MNT,3404.88,01/05/2018,31/05/2018
Montserrat,E Caribbean Dollar,XCD,3.8433,01/05/2018,31/05/2018
Morocco,Dirham,MAD,13.04,01/05/2018,31/05/2018
Mozambique,Metical,MZN,85.68,01/05/2018,31/05/2018
Myanmar,Kyat,MMK,1882.43,01/05/2018,31/05/2018
Nepal,Rupee,NPR,149.45,01/05/2018,31/05/2018
New Caledonia,CFP Franc,XPF,137.24,01/05/2018,31/05/2018
New Zealand,Dollar,NZD,1.9398,01/05/2018,31/05/2018
Nicaragua,Gold Cordoba,NIO,44.46,01/05/2018,31/05/2018
Niger Republic,CFA Franc,XOF,754.39,01/05/2018,31/05/2018
Nigeria,Naira,NGN,513.15,01/05/2018,31/05/2018
Norway,Norwegian Krone,NOK,11.03,01/05/2018,31/05/2018
Oman,Rial,OMR,0.548,01/05/2018,31/05/2018
Pakistan,Rupee,PKR,164.5,01/05/2018,31/05/2018
Panama,Balboa,PAB,1.4234,01/05/2018,31/05/2018
Papua New Guinea,Kina,PGK,4.6318,01/05/2018,31/05/2018
Paraguay,Guarani,PYG,7898.71,01/05/2018,31/05/2018
Peru,New Sol,PEN,4.5744,01/05/2018,31/05/2018
Philippines,Peso,PHP,74.12,01/05/2018,31/05/2018
Poland,Zloty,PLN,4.7864,01/05/2018,31/05/2018
Qatar,Riyal,QAR,5.1828,01/05/2018,31/05/2018
Romania,New Leu,RON,5.3522,01/05/2018,31/05/2018
Russia,Rouble,RUB,87.12,01/05/2018,31/05/2018
Rwanda,Franc,RWF,1228.43,01/05/2018,31/05/2018
Saotome and Principe,Dobra,STD,28153.7,01/05/2018,31/05/2018
Saudi Arabia,Riyal,SAR,5.3383,01/05/2018,31/05/2018
Senegal,CFA Franc,XOF,754.39,01/05/2018,31/05/2018
Serbia,Dinar,RSD,135.91,01/05/2018,31/05/2018
Seychelles,Rupee,SCR,19.57,01/05/2018,31/05/2018
Sierra Leone,Leone,SLL,11095.77,01/05/2018,31/05/2018
Singapore,Dollar,SGD,1.8646,01/05/2018,31/05/2018
Soloman Islands,Dollar,SBD,11.06,01/05/2018,31/05/2018
Somali Republic,Schilling,SOS,822.75,01/05/2018,31/05/2018
South Africa,Rand,ZAR,16.97,01/05/2018,31/05/2018
South Korea,Won,KRW,1521.09,01/05/2018,31/05/2018
Sri Lanka,Rupee,LKR,222.62,01/05/2018,31/05/2018
St Christopher and Anguilla,E Caribbean Dollar,XCD,3.8433,01/05/2018,31/05/2018
St Lucia,E Caribbean Dollar,XCD,3.8433,01/05/2018,31/05/2018
St Vincent,E Caribbean Dollar,XCD,3.8433,01/05/2018,31/05/2018
Sudan Republic,Pound,SDG,25.84,01/05/2018,31/05/2018
Surinam,Dollar,SRD,10.63,01/05/2018,31/05/2018
Swaziland,Lilangeni,SZL,16.97,01/05/2018,31/05/2018
Sweden,Krona,SEK,11.94,01/05/2018,31/05/2018
Switzerland,Franc,CHF,1.3767,01/05/2018,31/05/2018
Taiwan,Dollar,TWD,41.78,01/05/2018,31/05/2018
Tanzania,Schilling,TZS,3238.34,01/05/2018,31/05/2018
Thailand,Baht,THB,44.46,01/05/2018,31/05/2018
Togo Republic,CFA Franc,XOF,754.39,01/05/2018,31/05/2018
Tonga Islands,Pa'anga (AUS),TOP,1.8272,01/05/2018,31/05/2018
Trinidad/Tobago,Dollar,TTD,9.6,01/05/2018,31/05/2018
Tunisia,Dinar,TND,3.4053,01/05/2018,31/05/2018
Turkey,Turkish  Lira,TRY,5.7227,01/05/2018,31/05/2018
Turkmenistan,New Manat,TMT,4.9821,01/05/2018,31/05/2018
UAE,Dirham,AED,5.2285,01/05/2018,31/05/2018
Uganda,Schilling,UGX,5252.52,01/05/2018,31/05/2018
Ukraine,Hryvnia,UAH,37.23,01/05/2018,31/05/2018
Uruguay,Peso,UYU,40.21,01/05/2018,31/05/2018
USA,Dollar,USD,1.4234,01/05/2018,31/05/2018
Uzbekistan,Sum,UZS,11497.55,01/05/2018,31/05/2018
Vanuatu,Vatu,VUV,153.81,01/05/2018,31/05/2018
Venezuela,Bolivar Fuerte,VEF,84623.92,01/05/2018,31/05/2018
Vietnam,Dong,VND,32417.64,01/05/2018,31/05/2018
Wallis and Futuna Islands,CFP Franc,XPF,137.24,01/05/2018,31/05/2018
Western Samoa,Tala,WST,3.5444,01/05/2018,31/05/2018
Yemen (Rep of),Rial,YER,356.06,01/05/2018,31/05/2018
Zambia,Kwacha,ZMW,13.55,01/05/2018,31/05/2018
Zimbabwe,Dollar,ZWL,515.14,01/05/2018,31/05/2018
